player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwsbpmlhoqud0puidizt",CLE,2023,13,REG,LA,23,44,254,2,1,2,14,0,0,543,70,10,-7.791563930410868,0,0.4677716390423573,-0.024772334294936475,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,16.16,16.16
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwsbpmlhoqud0puidizt",CLE,2023,14,REG,JAX,26,45,311,3,1,1,4,1,1,334,158,11,-1.6544217481042307,0,0.9311377245508982,0.0037993372239631482,4,-1,0,0,0,1,-0.20380611496511847,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,20.339999999999996,20.339999999999996
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwsbpmlhoqud0puidizt",CLE,2023,15,REG,CHI,28,44,374,2,3,4,31,1,0,382,158,12,-17.392163456001864,0,0.9790575916230366,0.014412046274931985,1,-1,0,0,0,0,-0.49393496232486456,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,16.86,16.86
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwsbpmlhoqud0puidizt",CLE,2023,16,REG,HOU,27,42,368,3,2,0,-0,0,0,472,108,18,19.032988064660458,1,0.7796610169491526,0.2215394756923237,2,1,0,0,0,1,0.8027277969522402,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,24.82,24.82
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwsbpmlhoqud0puidizt",CLE,2023,17,REG,NYJ,19,29,309,3,1,1,8,1,0,179,184,9,6.1975739089539275,0,1.7262569832402235,0.15289516464091057,2,3,0,1,0,1,-0.5749326964723878,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,22.66,22.66
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,11,REG,SEA,17,31,190,1,1,1,5,0,0,158,124,9,-4.574814941957867,0,1.2025316455696202,-0.035912374295998965,2,1,0,0,0,0,-0.5948397414758801,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,9.700000000000001,9.700000000000001
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,12,REG,ARI,25,33,229,4,1,0,-0,0,0,192,129,16,13.204231557474376,0,1.1927083333333333,0.24892777760103474,1,2,0,0,0,0,-0.5174348445143551,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,23.36,23.36
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,13,REG,CLE,22,37,279,3,0,0,-0,0,0,292,148,10,5.319123742495321,0,0.9554794520547946,0.09888565705943154,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,22.96,22.96
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,14,REG,BAL,23,41,294,3,0,2,12,0,0,385,143,14,6.54873018331353,0,0.7636363636363637,0.11765579466293695,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,23.659999999999997,23.659999999999997
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,15,REG,WAS,25,33,258,2,0,3,9,0,0,172,141,10,7.874736452077675,0,1.5,0.16928549886350763,1,2,0,0,0,0,-0.40503351655206643,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,18.52,18.52
